result_id,github_login,repo,analyzed_at,has_log,has_messages,has_tokens,event_count,agent
s-achawro-CWTCG-5a9d5c6d675f,Bloi-Dev,s-achawro/CWTCG,2026-05-29,true,false,false,3,codex_cli
MasonD-007-ks_MCPS-16c717ceed47,HariRaghavan1,MasonD-007/ks_MCPS,2026-06-07,true,false,true,15,claude_code
MandoBug-InterviewPal-becb21a5bcb0,YangYangChao,MandoBug/InterviewPal,2026-05-29,true,false,false,32,codex_cli
Colin-Posat-SlugFound-e480db2c4df9,Colin-Posat,Colin-Posat/SlugFound,2026-06-07,true,true,true,445,claude_code
DAWLab-cse115-DAWLab-FrontEnd-018b0f63cddf,T0RAA,DAWLab-cse115/DAWLab-FrontEnd,2026-06-09,true,true,true,458,claude_code
Aicnev04-PriceYourPlaylist-c17a5b9a1526,Kaankocc,Aicnev04/PriceYourPlaylist,2026-06-08,true,true,true,506,claude_code
Colin-Posat-SlugFound-c8556ef8e1d1,anguy480,Colin-Posat/SlugFound,2026-06-09,true,true,true,1152,claude_code
s-achawro-CWTCG-23e056fabae8,s-achawro,s-achawro/CWTCG,2026-06-05,true,false,false,1163,codex_cli
dareumHJ-sluggym-28594b29ae3f,dareumHJ,dareumHJ/sluggym.git,2026-06-05,true,true,true,1279,claude_code
royshadmon-EADS-a5a6be746778,svante92,royshadmon/EADS,2026-06-02,true,true,true,1637,claude_code
mvongnakhone-SmartMenu-ed433e81dbd4,mvongnakhone,mvongnakhone/SmartMenu,2026-06-07,true,true,true,2433,claude_code
ismilesen-circuit-simulation-54f97c857778,ismilesen,ismilesen/circuit-simulation,2026-06-03,true,true,true,4123,claude_code
scottyUX-ts-repo-metrics-8411d0150df4,scottyUX,scottyUX/ts-repo-metrics,2026-05-26,true,true,true,5295,claude_code
scottyUX-ts-repo-metrics-dac156b46f7f,scottyUX,scottyUX/ts-repo-metrics,2026-05-26,true,true,true,5295,claude_code
scottyUX-ts-repo-metrics-ee817aae08e4,scottyUX,scottyUX/ts-repo-metrics,2026-05-26,true,true,true,5346,claude_code
franklinwangg-AutoShake-6b101ba2e899,Ninjamrcool,franklinwangg/AutoShake,2026-05-28,true,true,true,5346,claude_code
s-achawro-CWTCG-e1ac04c6c06f,scottyUX,s-achawro/CWTCG,2026-05-29,true,true,true,5356,claude_code
MikeyZv-SlugMarket-18e09b522526,MikeyZv,MikeyZv/SlugMarket,2026-06-03,true,true,true,6804,claude_code
scottyUX-ts-repo-metrics-6cd236a6a5ec,scottyUX,scottyUX/ts-repo-metrics,2026-06-04,true,true,true,7386,claude_code
dareumHJ-sluggym-a3445a119d73,sang-w00,dareumHJ/sluggym,2026-06-05,true,false,false,8335,codex_cli
Nxver-GitHub-Nodegent-2cbe9d9e3a3d,Nxver-GitHub,Nxver-GitHub/Nodegent,2026-06-08,true,true,true,9987,claude_code
ismilesen-circuit-simulation-cde2ea57fd9f,sebavila14,ismilesen/circuit-simulation,2026-06-07,true,false,false,10533,codex_cli
apagadua-shoe_shopper-93aa6cc83125,ozaitgiv,apagadua/shoe_shopper,2026-06-04,true,true,true,13170,claude_code
microfaults-zeus-go-9ae7ef93538f,helloswayamshah,microfaults/zeus-go,2026-06-07,true,true,true,13479,claude_code
microfaults-manteion-go-4bf04b8021f4,helloswayamshah,microfaults/manteion-go,2026-06-12,true,true,true,13957,claude_code
scottyUX-IstanbulMedic-Connect-05ee881b7994,B1ggestB,scottyUX/IstanbulMedic-Connect,2026-06-11,true,true,true,17197,claude_code
