cohort,owner,repo,repo_url,analysis_source
pre_ai,raeeka98,MarinePlastics-MobileApp,https://github.com/raeeka98/MarinePlastics-MobileApp,local_run
pre_ai,nkalscheuer,mavericks,https://github.com/nkalscheuer/mavericks,local_run
pre_ai,alrivero,MAT3D,https://github.com/alrivero/MAT3D,local_run
pre_ai,MissValeska,CSE-115A-GeneSearcher,https://github.com/MissValeska/CSE-115A-GeneSearcher,local_run
pre_ai,nhak03,115proj,https://github.com/nhak03/115proj,local_run
pre_ai,CSE115aStock,StockCSE115A,https://github.com/CSE115aStock/StockCSE115A,local_run
pre_ai,blukat29,cmps115,https://github.com/blukat29/cmps115,local_run
pre_ai,divark,tsrassistant,https://github.com/divark/tsrassistant,local_run
pre_ai,moelattma,Clubster,https://github.com/moelattma/Clubster,local_run
pre_ai,Strict-Evaluation,editthis,https://github.com/Strict-Evaluation/editthis,local_run
pre_ai,kmirijan,PickUp,https://github.com/kmirijan/PickUp,local_run
pre_ai,matt-ngo,CSE-115A,https://github.com/matt-ngo/CSE-115A,local_run
pre_ai,dcalta,CMPS115Winter2018---Job-Application-Organizer,https://github.com/dcalta/CMPS115Winter2018---Job-Application-Organizer,local_run
pre_ai,Ragneroke,cmps115Project,https://github.com/Ragneroke/cmps115Project,local_run
pre_ai,Cstew12,cse115A,https://github.com/Cstew12/cse115A,local_run
pre_ai,cnoda1397,CSE115-Slug-Pantry,https://github.com/cnoda1397/CSE115-Slug-Pantry,local_run
post_ai,Alaurosa,vision-studio,https://github.com/Alaurosa/vision-studio,supabase
post_ai,andrewchimney,Resonance,https://github.com/andrewchimney/Resonance,supabase
post_ai,aravadhikari05,LoopAI,https://github.com/aravadhikari05/LoopAI,supabase
post_ai,avnig05,pennywise,https://github.com/avnig05/pennywise,supabase
post_ai,Brinqa-CRQ-2026,VulnContext-Desktop,https://github.com/Brinqa-CRQ-2026/VulnContext-Desktop,supabase
post_ai,Colin-Posat,SlugFound,https://github.com/Colin-Posat/SlugFound,supabase
post_ai,cse115a-Memori,Memori,https://github.com/cse115a-Memori/Memori,supabase
post_ai,dareumHJ,sluggym.git,https://github.com/dareumHJ/sluggym.git,supabase
post_ai,ethalee-pixel,Parking-Finder,https://github.com/ethalee-pixel/Parking-Finder,supabase
post_ai,grepthink2,grepthink2.0,https://github.com/grepthink2/grepthink2.0,supabase
post_ai,ismilesen,circuit-simulation,https://github.com/ismilesen/circuit-simulation,supabase
post_ai,joncody,slugroute,https://github.com/joncody/slugroute,supabase
post_ai,Loop-AI-Organization,loop-ai,https://github.com/Loop-AI-Organization/loop-ai,supabase
post_ai,MandoBug,InterviewPal,https://github.com/MandoBug/InterviewPal,supabase
post_ai,MasonD-007,ks_MCPS,https://github.com/MasonD-007/ks_MCPS,supabase
post_ai,Medulus,Medulus.github.io,https://github.com/Medulus/Medulus.github.io,supabase
post_ai,microfaults,service-beds,https://github.com/microfaults/service-beds,supabase
post_ai,microfaults,zeus-go,https://github.com/microfaults/zeus-go,supabase
post_ai,MikeyZv,2048-Game,https://github.com/MikeyZv/2048-Game,supabase
post_ai,MikeyZv,pubmed-for-dummies,https://github.com/MikeyZv/pubmed-for-dummies,supabase
post_ai,MikeyZv,rubiks-cube-solver,https://github.com/MikeyZv/rubiks-cube-solver,supabase
post_ai,MikeyZv,SlugMarket,https://github.com/MikeyZv/SlugMarket,supabase
post_ai,nisergdesai,Planly_Organizer,https://github.com/nisergdesai/Planly_Organizer,supabase
post_ai,oliver-goeken,CSE115-Stats-in-Term,https://github.com/oliver-goeken/CSE115-Stats-in-Term,supabase
post_ai,PoolCloser,HabiMatch,https://github.com/PoolCloser/HabiMatch,supabase
post_ai,PurrGod,chessengine-c,https://github.com/PurrGod/chessengine-c,supabase
post_ai,rkhettry,Got-Rizz,https://github.com/rkhettry/Got-Rizz,supabase
post_ai,s-achawro,CWTCG,https://github.com/s-achawro/CWTCG,supabase
post_ai,sbelambe,UCSC-Financial-Purchase-Prediction,https://github.com/sbelambe/UCSC-Financial-Purchase-Prediction,supabase
post_ai,UXlySoftware,WikiFlow,https://github.com/UXlySoftware/WikiFlow,supabase
