cohort,owner,repo,repo_url,source_file,complexity_average,maintainability_score,smells_longFunctions,profile_sourceLOC,testCoverageProxy_ratio,phase3_sfd,phase3_srs,distributions_p90_complexity
pre_ai,raeeka98,MarinePlastics-MobileApp,https://github.com/raeeka98/MarinePlastics-MobileApp,research\datasets\samples\pre_ai\raeeka98-MarinePlastics-MobileApp.json,1.3,73.4,2,1505,0,0,0,3
pre_ai,nkalscheuer,mavericks,https://github.com/nkalscheuer/mavericks,research\datasets\samples\pre_ai\nkalscheuer-mavericks.json,1.5,73.8,0,469,0.02,0,0,3
pre_ai,alrivero,MAT3D,https://github.com/alrivero/MAT3D,research\datasets\samples\pre_ai\alrivero-MAT3D.json,2.6,67.5,622,1084782,0.01,0,0,5
pre_ai,MissValeska,CSE-115A-GeneSearcher,https://github.com/MissValeska/CSE-115A-GeneSearcher,research\datasets\samples\pre_ai\MissValeska-CSE-115A-GeneSearcher.json,1.6,77.4,1,810,0.35,0,0,3
pre_ai,nhak03,115proj,https://github.com/nhak03/115proj,research\datasets\raw_reports\pre_ai\nhak03-115proj.json,2.2,67.5,13,1690,0,0,0,5
pre_ai,CSE115aStock,StockCSE115A,https://github.com/CSE115aStock/StockCSE115A,research\datasets\raw_reports\pre_ai\CSE115aStock-StockCSE115A.json,1.7,69.2,23,6038,0.15,0,0,4
pre_ai,blukat29,cmps115,https://github.com/blukat29/cmps115,research\datasets\raw_reports\pre_ai\blukat29-cmps115.json,7,57.9,8,4185,0,0,0,15
pre_ai,divark,tsrassistant,https://github.com/divark/tsrassistant,research\datasets\raw_reports\pre_ai\divark-tsrassistant.json,3.4,68.1,11,26676,0.01,0,0,8
pre_ai,moelattma,Clubster,https://github.com/moelattma/Clubster,research\datasets\raw_reports\pre_ai\moelattma-Clubster.json,1.8,75.5,15,8818,0,0,0,3
pre_ai,Strict-Evaluation,editthis,https://github.com/Strict-Evaluation/editthis,research\datasets\raw_reports\pre_ai\Strict-Evaluation-editthis.json,1.4,76.8,0,1714,0,0,0,2
pre_ai,kmirijan,PickUp,https://github.com/kmirijan/PickUp,research\datasets\raw_reports\pre_ai\kmirijan-PickUp.json,1.5,73.2,20,5913,0.1,0,0,3
pre_ai,matt-ngo,CSE-115A,https://github.com/matt-ngo/CSE-115A,research\datasets\raw_reports\pre_ai\matt-ngo-CSE-115A.json,1.9,67.3,10,2050,0,0,0,4
pre_ai,dcalta,CMPS115Winter2018---Job-Application-Organizer,https://github.com/dcalta/CMPS115Winter2018---Job-Application-Organizer,research\datasets\raw_reports\pre_ai\dcalta-CMPS115Winter2018---Job-Application-Organizer.json,1.9,72.4,6,3891,0,0,0,4
pre_ai,Ragneroke,cmps115Project,https://github.com/Ragneroke/cmps115Project,research\datasets\raw_reports\pre_ai\Ragneroke-cmps115Project.json,1.2,76.9,0,1015,0,0,0,3
pre_ai,Cstew12,cse115A,https://github.com/Cstew12/cse115A,research\datasets\raw_reports\pre_ai\Cstew12-cse115A.json,1.5,69.7,11,2791,0,0,0,3
pre_ai,cnoda1397,CSE115-Slug-Pantry,https://github.com/cnoda1397/CSE115-Slug-Pantry,research\datasets\raw_reports\pre_ai\cnoda1397-CSE115-Slug-Pantry.json,1.7,71.6,7,972,0,0,0,3
post_ai,microfaults,manteion-go,https://github.com/microfaults/manteion-go,research\datasets\raw_reports\post_ai\microfaults-manteion-go.json,2.5,76.5,0,38,0,0,0,3
post_ai,microfaults,manteion-ui,https://github.com/microfaults/manteion-ui,research\datasets\raw_reports\post_ai\microfaults-manteion-ui.json,2.2,71.3,32,10279,0.08,0,0,5
post_ai,apagadua,shoe_shopper,https://github.com/apagadua/shoe_shopper,research\datasets\raw_reports\post_ai\apagadua-shoe_shopper.json,3,66.4,39,14131,0.04,0,0,6
post_ai,Brinqa-CRQ-2026,VulnContext-Desktop,https://github.com/Brinqa-CRQ-2026/VulnContext-Desktop,research\datasets\samples\post_ai\Brinqa-CRQ-2026-VulnContext-Desktop.json,1.9,68.1,144,22166,0.44,0,0,4
post_ai,Colin-Posat,SlugFound,https://github.com/Colin-Posat/SlugFound,research\datasets\samples\post_ai\Colin-Posat-SlugFound.json,2.2,68.4,36,7452,0.1,0,0,4
post_ai,Aicnev04,PriceYourPlaylist,https://github.com/Aicnev04/PriceYourPlaylist,research\datasets\raw_reports\post_ai\Aicnev04-PriceYourPlaylist.json,2.6,69.2,10,1495,0.13,0,0,5
post_ai,MikeyZv,SlugMarket,https://github.com/MikeyZv/SlugMarket,research\datasets\samples\post_ai\MikeyZv-SlugMarket.json,1.5,74,46,4195,0.66,0.23838,0,3
post_ai,Alaurosa,vision-studio,https://github.com/Alaurosa/vision-studio,research\datasets\samples\post_ai\Alaurosa-vision-studio.json,2.8,69.5,110,25199,0.16,0.03968,0,6
post_ai,Nxver-GitHub,Nodegent,https://github.com/Nxver-GitHub/Nodegent,research\datasets\raw_reports\post_ai\Nxver-GitHub-Nodegent.json,2.2,68.9,130,21362,0.18,0,0,4
post_ai,ismilesen,circuit-simulation,https://github.com/ismilesen/circuit-simulation,research\datasets\raw_reports\post_ai\ismilesen-circuit-simulation.json,3.2,70.3,0,676,0,0,0,6
post_ai,dareumHJ,sluggym,https://github.com/dareumHJ/sluggym,research\datasets\raw_reports\post_ai\dareumHJ-sluggym.json,1.6,72.3,75,10204,0.49,0.098,0,3
post_ai,sbelambe,UCSC-Financial-Purchase-Prediction,https://github.com/sbelambe/UCSC-Financial-Purchase-Prediction,research\datasets\raw_reports\post_ai\sbelambe-UCSC-Financial-Purchase-Prediction.json,2.2,68.2,62,22481,0.02,0.08896,0,5
post_ai,Medulus,Medulus.github.io,https://github.com/Medulus/Medulus.github.io,research\datasets\raw_reports\post_ai\Medulus-Medulus.github.io.json,3.3,95,0,20879,0,0,0,8
post_ai,dvdthr5,ArrowBerry,https://github.com/dvdthr5/ArrowBerry,research\datasets\raw_reports\post_ai\dvdthr5-ArrowBerry.json,2.5,66.6,28,5804,0.23,0,0,6
post_ai,MandoBug,InterviewPal,https://github.com/MandoBug/InterviewPal,research\datasets\raw_reports\post_ai\MandoBug-InterviewPal.json,2,68.6,13,5038,0.2,0,0,4
post_ai,nryee2005,routematch,https://github.com/nryee2005/routematch,research\datasets\raw_reports\post_ai\nryee2005-routematch.json,2.3,67.8,45,10773,0.28,0.64977,0,5
